epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01308,1.63678,5.78516,1.25344,0.00032,0.16667,0.00035,8e-05,1.57252,4.45114,1.61609,0,0,0
2,1.71572,1.47838,5.26044,1.22114,0.00032,0.16667,0.00029,7e-05,1.57999,4.4437,1.59241,1.6615e-05,1.6615e-05,1.6615e-05
3,2.36907,1.47416,4.84829,1.38937,0.00032,0.16667,0.00049,5e-05,1.59294,4.42756,1.61551,3.312e-05,3.312e-05,3.312e-05
4,2.99883,1.44856,5.019,1.31304,0.00032,0.16667,0.00034,8e-05,1.58633,4.42033,1.6123,4.95149e-05,4.95149e-05,4.95149e-05
5,3.65926,1.64291,5.72294,1.44467,0.00032,0.16667,0.00049,0.00012,1.58701,4.42467,1.60531,6.57998e-05,6.57998e-05,6.57998e-05
6,4.28724,1.62478,6.57432,1.41366,0.00032,0.16667,0.00036,9e-05,1.6069,4.40921,1.58724,8.19747e-05,8.19747e-05,8.19747e-05
7,4.97267,1.56583,5.55128,1.21639,0.00032,0.16667,0.00023,7e-05,1.47299,4.25083,1.43558,9.80396e-05,9.80396e-05,9.80396e-05
8,5.75059,1.80933,5.2006,1.37888,0.00067,0.22917,0.00045,0.00023,1.41591,4.20966,1.39497,0.000113994,0.000113994,0.000113994
9,6.52303,1.32835,4.6149,1.26718,0.00067,0.22917,0.00065,0.00027,1.26305,4.1649,1.28684,0.000129839,0.000129839,0.000129839
10,7.29737,1.26195,5.11356,1.15191,0.00032,0.16667,0.00033,0.00012,1.22931,4.13003,1.21315,0.000145574,0.000145574,0.000145574
11,8.0896,1.28735,4.78365,1.39303,0.00033,0.16667,0.00996,0.00117,1.22,4.08236,1.15807,0.000161199,0.000161199,0.000161199
12,8.87298,1.59689,4.6808,1.46372,0.00032,0.16667,0.02104,0.00494,1.22917,4.04105,1.14168,0.000176714,0.000176714,0.000176714
13,9.65575,1.01652,4.23892,1.09374,0.0003,0.16667,0.01871,0.0055,1.23884,4.02704,1.13835,0.000192118,0.000192118,0.000192118
